,courses_id,course_name,department_id
135,APRD 6343, Applications of Advanced Statistical Techniques in Advertising,APRD
136,APRD 6871, Special Topics,APRD
137,APRD 6940, Master's Candidate for Degree,APRD
138,APRD 6951, Master's Thesis,APRD
139,APRD 7001, ProSeminar in Mass Communication Theory 1,APRD
140,APRD 7002, Research Design,APRD
141,APRD 7003, ProSeminar in Mass Communication Theory II,APRD
142,APRD 7004, Doctoral Professionalization Seminar,APRD
143,APRD 7011, Seminar in Strategic Public Relations,APRD
144,APRD 7012, Ethnography and Media,APRD
145,APRD 7013, Mixed Research Methods in Mass Communication,APRD
146,APRD 7014, Experimental Design in Mass Communication,APRD
147,APRD 7020, Controls of Media and Information,APRD
148,APRD 7021, Environmental Journalism and Science Communication,APRD
149,APRD 7030, Media Sociology,APRD
150,APRD 7031, Moral Psychology and Media Ethics,APRD
151,APRD 7034, Media and Health Communication,APRD
152,APRD 7051, Qualitative Methods in Mass Communication,APRD
153,APRD 7061, Quantitative Research Methods,APRD
154,APRD 7062, Advanced Statistical Analysis for Mass Communication,APRD
155,APRD 7063, Text Analytics for Computational Mass Communication Research,APRD
156,APRD 7133, Digital Games,APRD
157,APRD 7841, Independent Study,APRD
158,APRD 7871, Special Topics,APRD
159,APRD 7880, Persuasion Theory,APRD
160,APRD 8991, Doctoral Dissertation,APRD
161,ASEN 1000, Introduction to Aerospace Engineering Sciences,ASEN
162,ASEN 1009, Undergraduate Aerospace Seminar,ASEN
163,ASEN 1022, Materials Science for Aerospace Engineers,ASEN
164,ASEN 1320, Aerospace Computing and Engineering Applications,ASEN
165,ASEN 1400, Gateway to Space,ASEN
166,ASEN 1403, Introduction to Rocket Engineering,ASEN
167,ASEN 1969, Pathway to Space,ASEN
168,ASEN 2001," Aerospace 1: Introduction to Statics, Structures, and Materials",ASEN
169,ASEN 2002, Aerospace 2: Introduction to Thermodynamics and Aerodynamics,ASEN
170,ASEN 2012, Experimental and Computational Methods in Aerospace Engineering Sciences,ASEN
171,ASEN 2519, Special Topics,ASEN
172,ASEN 2701," Introduction to Statics, Structures, and Materials",ASEN
173,ASEN 2702, Introduction to Thermodynamics and Aerodynamics,ASEN
174,ASEN 2703, Introduction to Dynamics and Systems,ASEN
175,ASEN 2704, Introduction to Aerospace Vehicle Design and Performance,ASEN
176,ASEN 2802, Aerospace Sciences Lab I,ASEN
177,ASEN 2803, Dynamics and Controls Lab,ASEN
178,ASEN 2804, Aerospace Vehicle Design Lab,ASEN
179,ASEN 2849, Independent Study,ASEN
180,ASEN 3036, Introduction to Human Spaceflight,ASEN
181,ASEN 3046, Introduction to Humans in Aviation,ASEN
182,ASEN 3111, Aerodynamics,ASEN
183,ASEN 3112, Structures,ASEN
184,ASEN 3113, Thermodynamics and Heat Transfer,ASEN
185,ASEN 3128, Aircraft Dynamics,ASEN
186,ASEN 3200, Orbital Mechanics/Attitude Dynamics and Control,ASEN
187,ASEN 3300, Aerospace Electronics and Communications,ASEN
188,ASEN 3519, Special Topics,ASEN
189,ASEN 3700, Orbital Mechanics/Attitude Dynamics and Control,ASEN
190,ASEN 3711, Aerodynamics,ASEN
191,ASEN 3712, Structures,ASEN
192,ASEN 3713, Thermodynamics and Heat Transfer,ASEN
193,ASEN 3728, Aircraft Dynamics,ASEN
194,ASEN 3801, Aerospace Vehicles Dynamics and Controls Lab,ASEN
195,ASEN 3802, Aerospace Sciences Lab II,ASEN
196,ASEN 3930, Aerospace Engineering Cooperative Education,ASEN
197,ASEN 4013, Foundations of Propulsion,ASEN
198,ASEN 4018, Senior Projects 1: Design Synthesis,ASEN
199,ASEN 4028, Senior Projects 2: Design Practicum,ASEN
200,ASEN 4057, Aerospace Software,ASEN
201,ASEN 4067, Microavionics: Introduction to PIC Microcontrollers for Aerospace Systems,ASEN
202,ASEN 4090, Global Positioning Systems Applications,ASEN
203,ASEN 4114, Automatic Control Systems,ASEN
204,ASEN 4123, Vibration Analysis,ASEN
205,ASEN 4128, Human Factors in Engineering and Design,ASEN
206,ASEN 4138, Aircraft Design,ASEN
207,ASEN 4218, Large Space Structures Design,ASEN
208,ASEN 4338, Computer Analysis of Structures,ASEN
209,ASEN 4519, Special Topics,ASEN
210,ASEN 4849, Independent Study,ASEN
211,ASEN 4859, Undergraduate Research,ASEN
212,ASEN 5007, Introduction to Finite Elements,ASEN
213,ASEN 5010, Spacecraft Attitude Dynamics and Control,ASEN
214,ASEN 5012, Mechanics of Aerospace Structures,ASEN
215,ASEN 5014, Linear Control Systems,ASEN
216,ASEN 5016, Space Life Sciences,ASEN
217,ASEN 5018, Graduate Projects I,ASEN
218,ASEN 5022, Dynamics of Aerospace Structures,ASEN
219,ASEN 5034, Stochastic Methods for Systems Engineering,ASEN
220,ASEN 5044, Statistical Estimation for Dynamical Systems,ASEN
221,ASEN 5047, Probability and Statistics for Aerospace Engineering Sciences,ASEN
222,ASEN 5050, Space Flight Dynamics,ASEN
223,ASEN 5051, Fundamentals of Fluid Dynamics,ASEN
224,ASEN 5052, Analytical Astrodynamics,ASEN
225,ASEN 5053, Rocket and Spacecraft Propulsion,ASEN
226,ASEN 5063, Aircraft Propulsion,ASEN
227,ASEN 5067, Microavionics: Introduction to PIC Microcontrollers for Aerospace Systems,ASEN
228,ASEN 5090, Introduction to Global Navigation Satellite Systems,ASEN
229,ASEN 5098, System Engr and Design,ASEN
230,ASEN 5111, Introduction to Aeroelasticity,ASEN
231,ASEN 5114, Automatic Control Systems,ASEN
232,ASEN 5121, Boundary Layers and Convection,ASEN
233,ASEN 5122, Control of Aerospace Structures 1,ASEN
234,ASEN 5148, Spacecraft Design,ASEN
235,ASEN 5151, Fundamentals of Gas Dynamics,ASEN
236,ASEN 5158, Space Habitat Design,ASEN
237,ASEN 5168, Remote Sensing Instrumentation Design,ASEN
238,ASEN 5188, Fundamentals of Systems Engineering,ASEN
239,ASEN 5210, Remote Sensing Seminar,ASEN
240,ASEN 5212, Composite Structures and Materials,ASEN
241,ASEN 5218, Large Space Structures Design,ASEN
242,ASEN 5222, Materials Science for Composite Manufacturing,ASEN
243,ASEN 5227, Mathematics for Aerospace Engineering Sciences 1,ASEN
244,ASEN 5235, Introduction to Atmospheric Radiative Transfer and Remote Sensing,ASEN
245,ASEN 5245, Radar and Remote Sensing,ASEN
246,ASEN 5254, Algorithmic Motion Planning,ASEN
247,ASEN 5264, Decision Making under Uncertainty,ASEN
248,ASEN 5307, Engineering Data Analysis Methods,ASEN
249,ASEN 5321, Computational Fluid Dynamics Structured Grid,ASEN
250,ASEN 5325, Small Scale Processes in Geophysical Fluids,ASEN
251,ASEN 5335, Aerospace Environment,ASEN
252,ASEN 5347, Math Methods in Dynamics,ASEN
253,ASEN 5417, Numerical Methods in Engineering and Science,ASEN
254,ASEN 5426, Neural Systems and Physiological Control,ASEN
255,ASEN 5440, Mission Design and Development for Space Sciences,ASEN
256,ASEN 5506, Bioastronautics Seminar,ASEN
257,ASEN 5519, Special Topics,ASEN
258,ASEN 5550, Designing for Defense,ASEN
259,ASEN 5849, Independent Study,ASEN
260,ASEN 5940, Engineering Research Internship,ASEN
261,ASEN 6008, Interplanetary Mission Design,ASEN
262,ASEN 6009, Special Topics Seminar,ASEN
263,ASEN 6010, Advanced Spacecraft Dynamics and Control,ASEN
264,ASEN 6011, Experimental Fluid Mechanics,ASEN
265,ASEN 6013, High Speed Propulsion,ASEN
266,ASEN 6014, Spacecraft Formation Flying,ASEN
267,ASEN 6015, Space Vehicle Guidance and Control,ASEN
268,ASEN 6020, Optimal Trajectories,ASEN
269,ASEN 6021, Viscous Flow,ASEN
270,ASEN 6024, Nonlinear Control Systems,ASEN
271,ASEN 6028, Graduate Projects II,ASEN
272,ASEN 6037, Turbulent Flows,ASEN
273,ASEN 6050, Space Instrumentation,ASEN
274,ASEN 6055, Data Assimilation & Inverse Methods for Earth & Geospace Observations,ASEN
275,ASEN 6060, Advanced Astrodynamics,ASEN
276,ASEN 6061, Molecular Gas Dynamics and DSMC,ASEN
277,ASEN 6070, Satellite Geodesy,ASEN
278,ASEN 6080, Statistical Orbit Determination,ASEN
279,ASEN 6084, Optical Multi-Target Tracking,ASEN
280,ASEN 6090, Advanced Global Navigation Satellite Systems: Software and Applications,ASEN
281,ASEN 6091, Global Navigation Satellite System (GNSS) Receiver Architecture,ASEN
282,ASEN 6107, Nonlinear Finite Element Methods,ASEN
283,ASEN 6116, Spacecraft Life Support Systems,ASEN
284,ASEN 6216, Human Operation of Aerospace Vehicles,ASEN
285,ASEN 6265, Fundamentals of Spectroscopy for Optical Remote Sensing,ASEN
286,ASEN 6331, Computational Fluid Dynamics,ASEN
287,ASEN 6337, Remote Sensing Data Analysis,ASEN
288,ASEN 6365, Lidar Remote Sensing,ASEN
289,ASEN 6367," Advanced Finite Element Methods for Plates, Shells, and Solids",ASEN
290,ASEN 6412, Uncertainty Quantification,ASEN
291,ASEN 6427, Advanced Computational Fluid Dynamics,ASEN
292,ASEN 6517, Computational Methods In Dynamics,ASEN
293,ASEN 6519, Special Topics,ASEN
294,ASEN 6800, Master of Engr Project,ASEN
295,ASEN 6849, Independent Study,ASEN
296,ASEN 6949, Master's Candidate for Degree,ASEN
297,ASEN 6950, Master's Thesis,ASEN
298,ASEN 8990, Doctoral Dissertation,ASEN
299,AIRR 1010, Heritage and Values I,AIRR
300,AIRR 1020, Heritages and Values II,AIRR
301,AIRR 1947, Air Force ROTC Leadership Laboratory,AIRR
302,AIRR 2010, Team and Leadership Fundamentals 1,AIRR
303,AIRR 2020, Team and Leadership Fundamentals 2,AIRR
304,AIRR 3010, Leading People and Effective Communication 1,AIRR
305,AIRR 3020, Leading People and Effective Communication 2,AIRR
306,AIRR 4010," National Security, Leadership Responsibilities/Commissioning Preparation 1",AIRR
307,AIRR 4020, National Security/Leadership Responsibilities/Commissioning Preparation 2,AIRR
308,ANTH 1030, Principles of Anthropology 1,ANTH
309,ANTH 1040, Principles of Anthropology 2,ANTH
310,ANTH 1100, Exploring a Non-Western Culture: The Tamils,ANTH
311,ANTH 1105, Exploring a Non-Western Culture: Tibet,ANTH
312,ANTH 1110," Anthropology of Japan: Culture, Diversity, and Identity",ANTH
313,ANTH 1115, The Caribbean in Post-Colonial Perspective,ANTH
314,ANTH 1120, Exploring a Non-Western Culture: Pueblo Indians of the Southwest,ANTH
315,ANTH 1125, Exploring Cultural Diversity in the U.S.,ANTH
316,ANTH 1140, Exploring a Non-Western Culture: The Maya,ANTH
317,ANTH 1141, Indigenous Imperialism on the Andes: The Inca Realm and its People,ANTH
318,ANTH 1143," Civilization, The Early Years: Ancient Mesopotamia in the Second Millennium BC",ANTH
319,ANTH 1145, Exploring a Non-Western Culture: The Aztecs,ANTH
320,ANTH 1150, Exploring a Non-Western Culture: Regional Cultures of Africa,ANTH
321,ANTH 1155, Exploring Global Cultural Diversity,ANTH
322,ANTH 1156," Class and Consumption: Global Cultures of Inequality, Anxiety, and Shopping",ANTH
323,ANTH 1170, Exploring Culture and Gender through Film,ANTH
324,ANTH 1180, Maritime People: Fishers and Seafarers,ANTH
325,ANTH 1190, Origins of Ancient Civilizations,ANTH
326,ANTH 1200, Culture and Power,ANTH
327,ANTH 2010, Introduction to Biological Anthropology 1,ANTH
328,ANTH 2020, Human Biological Variation and Adaptation,ANTH
329,ANTH 2030, Laboratory in Biological Anthropology 1,ANTH
330,ANTH 2040, Laboratory in Human Biological Variation and Adaptation,ANTH
331,ANTH 2070," Bones, Bodies, and Disease",ANTH
332,ANTH 2100, Introduction to Cultural Anthropology,ANTH
333,ANTH 2200, The Archaeology of Human History,ANTH
334,ANTH 2210, Laboratory Course in Archaeological Methods,ANTH
335,ANTH 2525, Environmental Anthropology,ANTH
336,ANTH 3000, Primate Behavior,ANTH
337,ANTH 3009," Modern Issues, Ancient Times",ANTH
338,ANTH 3010, The Human Animal,ANTH
339,ANTH 3100, Africa: Peoples and Societies in Change,ANTH
340,ANTH 3110, Ethnography of Mexico and Central America,ANTH
341,ANTH 3119, The Archaeology of Death,ANTH
342,ANTH 3160, Peoples of the South Pacific,ANTH
343,ANTH 3170, America: An Anthropological Perspective,ANTH
344,ANTH 3180," Gender, Culture, and Sexuality",ANTH
345,ANTH 3300, Elements of Religion,ANTH
346,ANTH 3505, Our World Heritage: The Archaeology of Cultural and Digital Heritage,ANTH
347,ANTH 3760, Exploring Culture and Media in Southeast Asia,ANTH
348,ANTH 3770, Primates of Vietnam:  Conservation in a Rapidly Developing Country,ANTH
349,ANTH 4000, Quantitative Methods in Anthropology,ANTH
350,ANTH 4020, Explorations in Anthropology,ANTH
351,ANTH 4045, Introduction to Museum Anthropology,ANTH
352,ANTH 4050, Anthropology of Jews and Judaism,ANTH
353,ANTH 4060, Nutrition and Anthropology,ANTH
354,ANTH 4070, Methods in Biological Anthropology,ANTH
355,ANTH 4080, Anthropological Genetics,ANTH
356,ANTH 4110, Human Evolutionary Biology,ANTH
357,ANTH 4120, Advanced Biological Anthropology,ANTH
358,ANTH 4125, Evolution and the Human Life Cycle: A Primate Life History Perspective,ANTH
359,ANTH 4129, Aegean Art and Archaeology,ANTH
360,ANTH 4130, Advanced Osteology,ANTH
361,ANTH 4160, Early Hominin Paleoecology,ANTH
362,ANTH 4170, Primate Evolutionary Biology,ANTH
363,ANTH 4180, Anthropological Perspectives: Contemporary Issues,ANTH
364,ANTH 4210, Southwestern Archaeology,ANTH
365,ANTH 4220, From Olmec to Aztec: The Archaeology of Mexico,ANTH
366,ANTH 4224, Archaeology of the Maya and Their Neighbors,ANTH
367,ANTH 4235, Landscape Archaeology,ANTH
368,ANTH 4240, Geoarchaeology,ANTH
369,ANTH 4245, Ceramics in Archaeology,ANTH
370,ANTH 4270, Plains Archaeology,ANTH
371,ANTH 4300, From Cloud People to the Land of the Sky: The Archaeology of Oaxaca,ANTH
372,ANTH 4330, Human Ecology: Archaeological Aspects,ANTH
373,ANTH 4340, Archaeological Method and Theory,ANTH
374,ANTH 4350, Archaeological Field and Laboratory Research,ANTH
375,ANTH 4380, Lithic Analysis and Replication,ANTH
376,ANTH 4390, Research Methods in Archaeology I,ANTH
377,ANTH 4465, The Archaeology of Inequality,ANTH
378,ANTH 4470, Collections Research Practicum in Cultural Anthropology,ANTH
379,ANTH 4500, Cross-Cultural Aspects of Socioeconomic Development,ANTH
380,ANTH 4505, Globalization and Transnational Culture,ANTH
381,ANTH 4525, Global Islams,ANTH
382,ANTH 4530, Theoretical Foundations of Sociocultural Anthropology,ANTH
383,ANTH 4570, Anthropology of Fishing,ANTH
384,ANTH 4580, The Holocaust: An Anthropological Perspective,ANTH
385,ANTH 4605, Anthropology of Neuroscience,ANTH
386,ANTH 4610, Medical Anthropology,ANTH
387,ANTH 4615, Kinship: Being and Belonging,ANTH
388,ANTH 4620, Nationalism and Cultural Citizenship,ANTH
389,ANTH 4630, Nomadic Peoples of East Africa,ANTH
390,ANTH 4690, Anthropology of Tibet,ANTH
391,ANTH 4700, Practicing Anthropology,ANTH
392,ANTH 4710, Departmental Honors in Anthropology 1,ANTH
393,ANTH 4720, Departmental Honors in Anthropology 2,ANTH
394,ANTH 4730, Latin American Politics and Culture through Film and Text,ANTH
395,ANTH 4735," Contemporary Cuban Culture: Race, Gender and Power",ANTH
396,ANTH 4740, Peoples and Cultures of Brazil,ANTH
397,ANTH 4745," Science, Technology and Society",ANTH
398,ANTH 4750, Culture and Society in South Asia,ANTH
399,ANTH 4755," Cultures of Expertise: Science, Power and Knowledge",ANTH
400,ANTH 4760, Ethnography of Southeast Asia and Indonesia,ANTH
401,ANTH 4770, Anthropology of Tourism,ANTH
402,ANTH 4800, Language and Culture,ANTH
403,ANTH 4840, Independent Study,ANTH
404,ANTH 4910, Teaching Anthropology,ANTH
405,ANTH 4919, Collections Research Practicum: Archaeology,ANTH
406,ANTH 4930, Anthropology Internship,ANTH
407,ANTH 5000, Quantitative Methods in Anthropology,ANTH
408,ANTH 5020, Explorations in Anthropology,ANTH
409,ANTH 5045, Introduction to Museum Anthropology,ANTH
410,ANTH 5060, Nutrition and Anthropology,ANTH
411,ANTH 5070, Methods in Biological Anthropology,ANTH
412,ANTH 5080, Anthropological Genetics,ANTH
413,ANTH 5110, Human Evolutionary Biology,ANTH
414,ANTH 5120, Advanced Biological Anthropology,ANTH
415,ANTH 5125, Evolution and the Human Life Cycle: A Primate Life History Perspective,ANTH
416,ANTH 5129, Aegean Art and Archaeology,ANTH
417,ANTH 5130, Advanced Osteology,ANTH
418,ANTH 5150, Human Ecology: Biological Aspects,ANTH
419,ANTH 5160, Early Hominin Paleoecology,ANTH
420,ANTH 5170, Primate Evolutionary Biology,ANTH
421,ANTH 5210, Southwestern Archaeology,ANTH
422,ANTH 5220, From Olmec to Aztec: The Archaeology of Mexico,ANTH
423,ANTH 5224, Archaeology of the Maya and Their Neighbors,ANTH
424,ANTH 5240, Geoarchaeology,ANTH
425,ANTH 5245, Ceramics in Archaeology,ANTH
426,ANTH 5270, Plains Archaeology,ANTH
427,ANTH 5330, Human Ecology: Archaeological Aspects,ANTH
428,ANTH 5345, Archaeological Theory,ANTH
429,ANTH 5350, Archaeological Field and Laboratory Research,ANTH
430,ANTH 5380, Lithic Analysis and Replication,ANTH
431,ANTH 5390, Research Methods in Archaeology I,ANTH
432,ANTH 5400, Research Methods in Archaeology 2,ANTH
433,ANTH 5455, Epistemology in Archaeology,ANTH
434,ANTH 5460, Archaeology and Contemporary Society,ANTH
435,ANTH 5470, Collections Research Practicum in Cultural Anthropology,ANTH
436,ANTH 5500, Cross-Cultural Aspects of Socioeconomic Development,ANTH
437,ANTH 5530, Theoretical Foundations of Sociocultural Anthropology,ANTH
438,ANTH 5570, Anthropology of Fishing,ANTH
439,ANTH 5605, Anthropology of Neuroscience,ANTH
440,ANTH 5610, Medical Anthropology,ANTH
441,ANTH 5630, Nomadic Peoples of East Africa,ANTH
442,ANTH 5700, Practicing Anthropology,ANTH
443,ANTH 5730, Latin American Politics and Culture through Film and Text,ANTH
444,ANTH 5735," Contemporary Cuban Culture: Race, Gender and Power",ANTH
445,ANTH 5745," Science, Technology and Society",ANTH
446,ANTH 5750, Culture and Society in South Asia,ANTH
447,ANTH 5755," Cultures of Expertise: Science, Power and Knowledge",ANTH
448,ANTH 5760, Ethnography of Southeast Asia and Indonesia,ANTH
449,ANTH 5770, Core Course---Archaeology,ANTH
450,ANTH 5780, Core Course-Cultural Anthropology,ANTH
451,ANTH 5785, Advanced Seminar in Cultural Anthropology,ANTH
452,ANTH 5790, Core Course---Biological Anthropology,ANTH
453,ANTH 5795, Proseminar in Anthropology,ANTH
454,ANTH 5840, Guided Study,ANTH
455,ANTH 5919, Collections Research Practicum: Archaeology,ANTH
456,ANTH 5930, Anthropology Internship,ANTH
457,ANTH 6150, Critical and Theoretical Issues in Museums,ANTH
458,ANTH 6320, Linguistic Anthropology,ANTH
459,ANTH 6500, Issues in Indigenous Languages,ANTH
460,ANTH 6940, Master's Candidate for Degree,ANTH
461,ANTH 6950, Master's Thesis,ANTH
462,ANTH 7000, Seminar: Current Research Topics in Cultural Anthropology,ANTH
463,ANTH 7010, Seminar: Contemporary Theory in Cultural  Anthropology,ANTH
464,ANTH 7015, Kinship: Being and Belonging,ANTH
465,ANTH 7020, Seminar: Physical Anthropology,ANTH
466,ANTH 7030, Seminar: Archaeology,ANTH
467,ANTH 7140, Seminar: Archaeology of Selected Areas,ANTH
468,ANTH 7200, Bridging Seminar,ANTH
469,ANTH 7300, Seminar: Research Methods in Cultural Anthropology,ANTH
470,ANTH 7600, Human Ecology: Cultural Aspects,ANTH
471,ANTH 7620, Seminar: Ethnography and Cultural Theory,ANTH
472,ANTH 7840, Independent Research,ANTH
473,ANTH 8990, Doctoral Dissertation,ANTH
474,APPM 1235, Pre-Calculus for Engineers,APPM
475,APPM 1236, Precalculus Work Group,APPM
476,APPM 1340," Calculus 1 with Algebra, Part A",APPM
477,APPM 1345," Calculus 1 with Algebra, Part B",APPM
478,APPM 1350, Calculus 1 for Engineers,APPM
479,APPM 1351, Calculus 1 Work Group,APPM
480,APPM 1360, Calculus 2 for Engineers,APPM
481,APPM 1361, Calculus 2 Work Group,APPM
482,APPM 1390, A Game for Calculus,APPM
483,APPM 1650, Python for Mathematical and Statistical Applications,APPM
484,APPM 2340, Calculus 3 for Statistics and Data Science,APPM
485,APPM 2350, Calculus 3 for Engineers,APPM
486,APPM 2351, Calculus 3 Work Group,APPM
487,APPM 2360, Introduction to Differential Equations with Linear Algebra,APPM
488,APPM 2450, Calculus 3 Computer Lab,APPM
489,APPM 2460, Differential Equations Computer Lab,APPM
490,APPM 2720, Open Topics in Lower Division Applied Mathematics,APPM
491,APPM 2750," Java: Training, Mathematical Algorithms, and Mobile Apps",APPM
492,APPM 3010, Chaos in Dynamical Systems,APPM
493,APPM 3050, Scientific Computing in Matlab,APPM
494,APPM 3170, Discrete Applied Mathematics,APPM
