CourseId,CourseName,DepartmentId,DepartmentName,Desc,Pre,Mode,CourseKeywords,CourseKeyPhrases,CourseSummary,CourseDifficulty,CourseDifficultyBand
ECEN 6950,Master's Thesis,ECEN,"Department of Electrical, Computer, and Energy Engineering",The course description is not available at this moment.,[],['person'],"['description', 'course', 'available', 'moment']","['course description available', 'course description', 'description available', 'description', 'description available moment', 'course', 'available', 'available moment']",The course description is not available at this moment.,0.3981943185252342,Easy
LIBR 3030,Civic Engagement in a Changing Information Landscape,LIBR,Library Science Program,"With a 24 hour news cycle, political use of social media, and the growth of disinformation, being an informed citizen has become increasingly more important and difficult. With a practical approach on participation in government, students will research and discuss the United States political system, examine the current political climate, what it means to be a good digital citizen, and engage in opposing views.",[],['online'],"['political', 'participation', 'government', 'citizen', 'informed', 'social']","['participation government students', 'informed citizen increasingly', 'government students research', 'examine current political', 'digital citizen engage', 'government students', 'united states political', 'participation government']","With a practical approach on participation in government, students will research and discuss the United States political system, examine the current political climate, what it means to be a good digital citizen, and engage in opposing views. With a 24 hour news cycle, political use of social media, and the growth of disinformation, being an informed citizen has become increasingly more important and difficult.",0.6995693563009973,Medium
HUMN 2100,"Arts, Culture and Media",HUMN,Humanities Department,"Promotes a better understanding of fundamental aesthetic and cultural issues by exploring competing definitions of art and culture. Sharpens critical and analytical abilities by asking students to read and compare different theories about arts, culture, media, and identity, and then to apply and assess those theories in relation to a selection of visual and verbal texts from a range of cultural and linguistic traditions.",[],['person'],"['arts', 'cultural', 'aesthetic', 'art', 'culture', 'traditions']","['aesthetic cultural issues', 'aesthetic cultural', 'fundamental aesthetic cultural', 'theories arts culture', 'definitions art culture', 'arts culture', 'art culture', 'different theories arts']","Promotes a better understanding of fundamental aesthetic and cultural issues by exploring competing definitions of art and culture. Sharpens critical and analytical abilities by asking students to read and compare different theories about arts, culture, media, and identity, and then to apply and assess those theories in relation to a selection of visual and verbal texts from a range of cultural and linguistic traditions.",0.7264656996071319,Difficult
CMDP 2500,Introduction to Media Practices,CMDP,Department of Comparative Media Studies and Practice,"Working in design groups, students will explore the expressive potential of media through the production of short projects, discussions, readings, formal analysis, and critique. Provide a basic introduction to media practices as an extension of ""visual thinking"" and through approaches to storytelling, and hybrid media forms.",['CMDP 1400'],['person'],"['design', 'storytelling', 'media', 'projects', 'visual', 'practices']","['storytelling hybrid media', 'introduction media practices', 'design groups students', 'visual thinking approaches', 'students explore expressive', 'thinking approaches storytelling', 'media practices', 'expressive potential media']","Provide a basic introduction to media practices as an extension of ""visual thinking"" and through approaches to storytelling, and hybrid media forms. Working in design groups, students will explore the expressive potential of media through the production of short projects, discussions, readings, formal analysis, and critique.",0.6443034149289815,Medium
WRTG 3035,Technical Communication and Design,WRTG,Department of Writing and Rhetoric,"Rhetorically informed introduction to technical writing that hones communication skills in the context of technical design activities. Treats design as a collaborative, user-oriented, problem-based activity, and technical communication as a rhetorically informed and persuasive design art. Taught as a writing workshop emphasizing critical thinking, revision, and oral presentation skills. Focuses on client-driven design projects and effective communication with multiple stakeholders. May be repeated up to 6 total credit hours.",[],"['person', 'online']","['writing', 'design', 'technical', 'presentation', 'communication', 'rhetorically']","['technical communication rhetorically', 'technical writing', 'introduction technical writing', 'technical writing hones', 'communication rhetorically informed', 'taught writing workshop', 'technical design', 'writing workshop emphasizing']","Treats design as a collaborative, user-oriented, problem-based activity, and technical communication as a rhetorically informed and persuasive design art. Rhetorically informed introduction to technical writing that hones communication skills in the context of technical design activities. Focuses on client-driven design projects and effective communication with multiple stakeholders.",0.6716152916288909,Medium
CMDP 4931,Internship,CMDP,Department of Comparative Media Studies and Practice,The course description is not available at this moment.,['CMDP 3600'],['person'],"['description', 'course', 'available', 'moment']","['course description available', 'course description', 'description available', 'description', 'description available moment', 'course', 'available', 'available moment']",The course description is not available at this moment.,0.3981943185252342,Easy
BCHM 5312,Quantitative Optical Imaging,BCHM,Department of Biochemistry,"Explores the fundamentals of optical imaging in biology, especially molecular and cellular biology. Covered topics include an introduction to optics and microscopes, fluorescence microscopy and image analysis, and biological applications. MATLAB will be taught at the beginning of the course and used throughout for image processing. Prior experience with MATLAB (or Python) is highly recommended but not required. Same as MCDB 5312, MCDB 4312 and BCHM 4312.",[],['person'],"['microscopy', 'microscopes', 'imaging', 'matlab', 'biology', 'fluorescence']","['optical imaging biology', 'imaging biology', 'imaging biology especially', 'image analysis biological', 'fundamentals optical imaging', 'optical imaging', 'biological applications matlab', 'microscopy image']","MATLAB will be taught at the beginning of the course and used throughout for image processing. Covered topics include an introduction to optics and microscopes, fluorescence microscopy and image analysis, and biological applications. Prior experience with MATLAB (or Python) is highly recommended but not required.",0.5961393170142036,Medium
NRSC 7102,Topics in Neuroscience: Careers in Neuroscience I,NRSC,Neuroscience Program,Advanced seminar dealing with different specialized topics in neuroscience.  May be repeated up to 9 total credit hours.  Instructor consent required for students outside of the department.,['NRSC 5110'],['person'],"['neuroscience', 'seminar', 'instructor', 'hours', 'students', 'advanced']","['hours instructor consent', 'specialized topics neuroscience', 'credit hours instructor', 'hours instructor', 'neuroscience repeated total', 'topics neuroscience repeated', 'topics neuroscience', 'advanced seminar']",Instructor consent required for students outside of the department. May be repeated up to 9 total credit hours. Advanced seminar dealing with different specialized topics in neuroscience.,0.5414022363251737,Medium
RUSS 4821,20th-Century Russian Literature and Art,RUSS,Russian and East European Studies Program,Interdisciplinary course emphasizing the influence of literature and art in 20th century Russian literature. Follows the changing cultural landscape from the time when Russia was in the vanguard of modern European literature to the period of Stalinism. Same as HUMN 4821.,[],['person'],"['literature', 'stalinism', 'interdisciplinary', 'russian', 'russia', 'art']","['century russian literature', 'russian literature', 'russian literature follows', 'literature period stalinism', '20th century russian', 'century russian', 'literature art 20th', 'period stalinism humn']",Interdisciplinary course emphasizing the influence of literature and art in 20th century Russian literature. Follows the changing cultural landscape from the time when Russia was in the vanguard of modern European literature to the period of Stalinism. Same as HUMN 4821.,0.53558476881233,Medium
APPM 5460,Methods in Applied Mathematics: Dynamical Systems and Differential Equations,APPM,Department of Applied Mathematics,"Introduces the theory and applications of dynamical systems through solutions to differential equations. Covers existence and uniqueness theory, local stability properties, qualitative analysis, global phase portraits, perturbation theory and bifurcation theory. Special topics may include Melnikov methods, averaging methods, bifurcations to chaos and Hamiltonian systems. Department enforced prerequisites: APPM 2360 and APPM 3310 and APPM 4440.",[],['person'],"['bifurcations', 'bifurcation', 'dynamical', 'chaos', 'stability', 'melnikov']","['methods bifurcations chaos', 'bifurcation theory special', 'bifurcations chaos hamiltonian', 'methods bifurcations', 'bifurcation theory', 'bifurcations chaos', 'theory bifurcation theory', 'theory bifurcation']","Special topics may include Melnikov methods, averaging methods, bifurcations to chaos and Hamiltonian systems. Covers existence and uniqueness theory, local stability properties, qualitative analysis, global phase portraits, perturbation theory and bifurcation theory. Introduces the theory and applications of dynamical systems through solutions to differential equations.",0.6471365971592626,Medium
COMM 4300,Senior Seminar: Rhetoric,COMM,Department of Communication,The course description is not available at this moment.,['COMM 3300'],['person'],"['description', 'course', 'available', 'moment']","['course description available', 'course description', 'description available', 'description', 'description available moment', 'course', 'available', 'available moment']",The course description is not available at this moment.,0.3981943185252342,Easy
PMUS 5536,Intermed Conducting,PMUS,Performance Studies Program,The course description is not available at this moment.,[],['person'],"['description', 'course', 'available', 'moment']","['course description available', 'course description', 'description available', 'description', 'description available moment', 'course', 'available', 'available moment']",The course description is not available at this moment.,0.3981943185252342,Easy
EDUC 5027,Institutional Advancement and Development in Higher Education,EDUC,Department of Education,"Examines the roles of institutional advancement, development, and fundraising in higher education and student affairs. Explores the impact of advancement on students, staff, and faculty, as well as on teaching and learning, research, campus life, and the larger community. The content will revolve around implications of development work as both a driving and a supportive element within higher education.",[],['online'],"['campus', 'fundraising', 'students', 'student', 'advancement', 'faculty']","['fundraising higher education', 'institutional advancement development', 'development fundraising higher', 'impact advancement students', 'advancement students', 'higher education', 'institutional advancement', 'student affairs explores']","Explores the impact of advancement on students, staff, and faculty, as well as on teaching and learning, research, campus life, and the larger community. Examines the roles of institutional advancement, development, and fundraising in higher education and student affairs. The content will revolve around implications of development work as both a driving and a supportive element within higher education.",0.6434723481414324,Medium
HIST 1828,Jewish History Since 1492,HIST,History Department,"Surveys the major historical developments encountered by Jewish communities beginning with the Spanish Expulsion in 1492 up until the present day. Studies the various ways in which Jews across the modern world engaged with the emerging notions of nationality, equality and citizenship, as well as with new ideologies such as liberalism, socialism, nationalism, imperialism and antisemitism. Same as JWST 1828 and RLST 1828.",[],['person'],"['jews', 'jewish', 'expulsion', 'nationalism', 'antisemitism', 'historical']","['spanish expulsion 1492', 'beginning spanish expulsion', 'expulsion 1492 present', 'expulsion 1492', 'encountered jewish communities', 'spanish expulsion', 'developments encountered jewish', 'jews modern world']","Surveys the major historical developments encountered by Jewish communities beginning with the Spanish Expulsion in 1492 up until the present day. Studies the various ways in which Jews across the modern world engaged with the emerging notions of nationality, equality and citizenship, as well as with new ideologies such as liberalism, socialism, nationalism, imperialism and antisemitism. Same as JWST 1828 and RLST 1828.",0.6345194922937443,Medium
ENVS 5340,Conservation Biology and Practice in Brazil's Atlantic Forest,ENVS,Department of Environmental Studies,"Field Studies. Examines the application of conservation principles in the Atlantic Forest of Brazil, a 'biodiversity-in-crisis' setting. Explores successful conservation strategies integrated with efforts to alleviate socioeconomic issues. Three-week Maymester, Study Abroad Global Seminar. Recommended prerequisites: EBIO 2040 or ENVS 2000 or 2000/higher-level course in ANTH, EBIO, ENVS, EVEN, GEOG, IAFS or other discipline related to ecology or sustainability. Same as ENVS 4340, EBIO 4340 and EBIO 5340.",[],['online'],"['biodiversity', 'ecology', 'conservation', 'sustainability', 'ebio', 'forest']","['forest brazil biodiversity', 'brazil biodiversity crisis', 'brazil biodiversity', 'atlantic forest brazil', 'principles atlantic forest', 'explores successful conservation', 'biodiversity crisis setting', 'related ecology sustainability']","Explores successful conservation strategies integrated with efforts to alleviate socioeconomic issues. Recommended prerequisites: EBIO 2040 or ENVS 2000 or 2000/higher-level course in ANTH, EBIO, ENVS, EVEN, GEOG, IAFS or other discipline related to ecology or sustainability. Field Studies.",0.604110003022061,Medium
LEAD 4502,Leadership Capstone 2,LEAD,Leadership Studies Program,Apply skills and knowledge developed throughout the Leadership and Community Engagement Major to design and implement public action project. Manage complex project with team of students and multiple community partners. Evaluate public impact of project with partners.,"['EDUC 4500', 'LEAD 4501']",['person'],"['project', 'leadership', 'action', 'public', 'design', 'engagement']","['public action project', 'public impact project', 'leadership community engagement', 'action project manage', 'impact project partners', 'action project', 'community engagement major', 'community engagement']",Manage complex project with team of students and multiple community partners. Apply skills and knowledge developed throughout the Leadership and Community Engagement Major to design and implement public action project. Evaluate public impact of project with partners.,0.5402689634330613,Medium
CVEN 5835,Special Topics for Seniors/Grads: Design of Wood Structure,CVEN,Department of Civil Engineering,Supervised study of special topics of interest to students under instructor guidance.  May be repeated up to 15 total credit hours.,[],['person'],"['hours', 'study', 'students', 'instructor', 'credit', 'guidance']","['total credit hours', 'credit hours', 'supervised study special', 'study special topics', 'special topics students', 'topics students instructor', 'students instructor guidance', 'instructor guidance']",May be repeated up to 15 total credit hours. Supervised study of special topics of interest to students under instructor guidance.,0.5684496826835902,Medium
PSCI 3021,U.S. Campaigns and Elections,PSCI,Political Science Department,"Introduces students to the subjects, techniques, and findings of Political Science research on campaigns and elections. Particular emphasis is placed on the study of voting, campaign effects, partisan coalitions, electoral rules, campaign finance, and the policy impact of elections. Recommended prerequisite: PSCI 1101.",[],"['person', 'online']","['campaigns', 'elections', 'campaign', 'political', 'electoral', 'voting']","['research campaigns elections', 'political science research', 'study voting campaign', 'voting campaign effects', 'campaigns elections particular', 'campaign effects partisan', 'campaigns elections', 'political science']","Particular emphasis is placed on the study of voting, campaign effects, partisan coalitions, electoral rules, campaign finance, and the policy impact of elections. Introduces students to the subjects, techniques, and findings of Political Science research on campaigns and elections. Recommended prerequisite: PSCI 1101.",0.5652009670595346,Medium
EDUC 2001,Humanities Teaching for Equity: Noticing,EDUC,Department of Education,Critically frames learning to teach for equity and justice. Focuses on noticing classroom and school spaces. Orients students to the School of Education's mission and guiding principles of the Secondary Humanities program. Meets weekly on CU campus. Includes 4 hours of middle school practicum each week.,['EDUC 1001'],['person'],"['education', 'critically', 'classroom', 'teach', 'humanities', 'students']","['teach equity justice', 'learning teach equity', 'school education mission', 'secondary humanities program', 'education mission guiding', 'education mission', 'critically frames', 'middle school practicum']",Orients students to the School of Education's mission and guiding principles of the Secondary Humanities program. Includes 4 hours of middle school practicum each week. Focuses on noticing classroom and school spaces.,0.5109171955273496,Medium
CMDP 2010,"Information, Media and Technology",CMDP,Department of Comparative Media Studies and Practice,"Surveys the history of information technologies and modern techniques of information production, storage, transmission and retrieval. Equips students with an understanding of technological transformations in interpersonal, organizational and mass communication. Emphasis is on the technological, social and political changes that underlie the movement toward a digital society.",[],['person'],"['technologies', 'technological', 'digital', 'modern', 'information', 'communication']","['information technologies modern', 'information technologies', 'history information technologies', 'technologies modern', 'technological transformations', 'technological social', 'movement digital society', 'understanding technological transformations']","Emphasis is on the technological, social and political changes that underlie the movement toward a digital society. Equips students with an understanding of technological transformations in interpersonal, organizational and mass communication. Surveys the history of information technologies and modern techniques of information production, storage, transmission and retrieval.",0.715699607132064,Difficult
ASEN 5016,Space Life Sciences,ASEN,Department of Aerospace Engineering Sciences,"Familiarizes students with factors affecting living organisms in the reduced-gravity environment of space flight. Covers basic life support requirements, human physiological adaptations, and cellular-level gravity dependent processes with emphasis on technical writing and research proposal preparation.",[],"['person', 'online']","['gravity', 'flight', 'space', 'organisms', 'physiological', 'adaptations']","['organisms reduced gravity', 'environment space flight', 'gravity environment', 'space flight', 'gravity environment space', 'cellular level gravity', 'reduced gravity environment', 'gravity']","Familiarizes students with factors affecting living organisms in the reduced-gravity environment of space flight. Covers basic life support requirements, human physiological adaptations, and cellular-level gravity dependent processes with emphasis on technical writing and research proposal preparation.",0.6857056512541553,Medium
EMEN 5405,Fundamentals of Systems Engineering,EMEN,Department of Engineering Management,"Examines the disciplined processes of designing and managing complex systems over their life cycle. Requirements engineering, reliability, logistics, team leadership, testing and evaluation, maintainability and other disciplines are examined with focus on the system engineering of small spacecraft.",[],"['person', 'online']","['spacecraft', 'systems', 'designing', 'maintainability', 'engineering', 'requirements']","['engineering small spacecraft', 'managing complex systems', 'requirements engineering reliability', 'systems life cycle', 'systems life', 'complex systems life', 'requirements engineering', 'designing managing complex']","Requirements engineering, reliability, logistics, team leadership, testing and evaluation, maintainability and other disciplines are examined with focus on the system engineering of small spacecraft. Examines the disciplined processes of designing and managing complex systems over their life cycle.",0.6718419462073133,Medium
PHYS 8990,Doctoral Dissertation,PHYS,Physics Department,"All doctoral students must register for not fewer than 30 hours of dissertation credit as part of the requirements for the degree. For a detailed discussion of doctoral dissertation credit, refer to the Graduate School section.",[],['person'],"['dissertation', 'doctoral', 'requirements', 'graduate', 'hours', 'credit']","['hours dissertation credit', 'dissertation credit requirements', 'doctoral dissertation credit', 'dissertation credit', '30 hours dissertation', 'dissertation credit refer', 'hours dissertation', 'doctoral students register']","For a detailed discussion of doctoral dissertation credit, refer to the Graduate School section. All doctoral students must register for not fewer than 30 hours of dissertation credit as part of the requirements for the degree.",0.5475974614687216,Medium
MCDB 1020,"Introduction to Molecular, Cellular and Developmental Biology Major",MCDB,"Molecular, Cellular, and Developmental Biology Department","Introduces students to the Molecular and Cellular Biology major. Provides an overview of the major and how it differs from other CU biology programs; how to get involved in clubs, research, and/or internship opportunities; strategies for succeeding in MCDB courses; and career options. This is a first-year colloquium course specifically designed for freshman and other students exploring their educational and career opportunities in our department. Recommended restriction: New MCDB majors.",[],['online'],"['mcdb', 'biology', 'majors', 'courses', 'major', 'freshman']","['mcdb majors', 'new mcdb majors', 'mcdb courses career', 'mcdb courses', 'succeeding mcdb courses', 'biology major provides', 'biology major', 'cellular biology major']","Provides an overview of the major and how it differs from other CU biology programs; how to get involved in clubs, research, and/or internship opportunities; strategies for succeeding in MCDB courses; and career options. Introduces students to the Molecular and Cellular Biology major. Recommended restriction: New MCDB majors.",0.6362194016319129,Medium
MCDB 1152,Problem Solving Co-Seminar for Introduction to Molecular and Cellular Biology,MCDB,"Molecular, Cellular, and Developmental Biology Department","Uses problem solving and other interactive group work to aid student learning in a corequisite course, MCDB  1150. Students will work in small groups on learning and practicing how to solve difficult conceptual problems, as well as using hands-on activities and concept mapping to help learn content. Recommended corequisite: MCDB 1150.",[],['person'],"['mcdb', 'corequisite', 'students', 'student', 'learning', 'interactive']","['corequisite course mcdb', 'mcdb 1150 students', 'corequisite mcdb', 'recommended corequisite mcdb', 'corequisite mcdb 1150', 'course mcdb 1150', 'course mcdb', 'student learning corequisite']","Uses problem solving and other interactive group work to aid student learning in a corequisite course, MCDB  1150. Students will work in small groups on learning and practicing how to solve difficult conceptual problems, as well as using hands-on activities and concept mapping to help learn content. Recommended corequisite: MCDB 1150.",0.5081595648232093,Medium
ENVS 6950,Master's Thesis,ENVS,Department of Environmental Studies,The course description is not available at this moment.,[],['person'],"['description', 'course', 'available', 'moment']","['course description available', 'course description', 'description available', 'description', 'description available moment', 'course', 'available', 'available moment']",The course description is not available at this moment.,0.3981943185252342,Easy
WRTG 4910,Portfolio Curation in Writing and Rhetoric,WRTG,Department of Writing and Rhetoric,"Provides academically supervised opportunity for undergraduate students to curate, reflect on and synthesize their learning over a range of courses through the production of an electronic portfolio. One credit hour required of students seeking the Interdisciplinary Writing Certificate. Approval of PWR Certificate coordinator required prior to registration.",[],['online'],"['courses', 'undergraduate', 'pwr', 'certificate', 'writing', 'interdisciplinary']","['pwr certificate coordinator', 'interdisciplinary writing certificate', 'pwr certificate', 'approval pwr certificate', 'certificate approval pwr', 'courses', 'certificate coordinator required', 'courses production electronic']","One credit hour required of students seeking the Interdisciplinary Writing Certificate. Approval of PWR Certificate coordinator required prior to registration. Provides academically supervised opportunity for undergraduate students to curate, reflect on and synthesize their learning over a range of courses through the production of an electronic portfolio.",0.6818902991840434,Medium
THTR 3011,American Musical Theatre History,THTR,Department of Theater,"This course investigates diversity in American musical theatre through the disciplinary frameworks of critical race theory, intersectional feminism, the American Myth, Jewish and LGBTQIA+ theories, and music and performance theory. In addition to increasing students’ knowledge, understanding, and appreciation of this uniquely American art form, this course encourages students to examine larger historical and/or political events and movements through the lens of the reception and development of musicals in a given time period. Recommended prerequisite: 3 credits in THTR, DNCE or MUSC.",[],['person'],"['musicals', 'musical', 'theatre', 'diversity', 'music', 'lgbtqia']","['diversity american musical', 'american musical theatre', 'musical theatre disciplinary', 'musical theatre', 'american musical', 'musicals', 'theatre disciplinary frameworks', 'musicals given time']","This course investigates diversity in American musical theatre through the disciplinary frameworks of critical race theory, intersectional feminism, the American Myth, Jewish and LGBTQIA+ theories, and music and performance theory. In addition to increasing students’ knowledge, understanding, and appreciation of this uniquely American art form, this course encourages students to examine larger historical and/or political events and movements through the lens of the reception and development of musicals in a given time period. Recommended prerequisite: 3 credits in THTR, DNCE or MUSC.",0.7478845572680568,Difficult
